state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Rajasthan,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,58,51.7,53.1,na
Rajasthan,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,47.3,37.5,39.6,8.6
Rajasthan,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,88.8,96,94.4,87.2
Rajasthan,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,11.1,2.4,4.4,4.1
Rajasthan,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),8.9,6.9,7.4,10.3
Rajasthan,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),64.6,53.2,56.2,16.5
Rajasthan,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),18.9,17,17.5,na
Rajasthan,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),82,71.2,73.9,56.6
Rajasthan,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),1.8,2.1,2.1,6.9
Rajasthan,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),85.8,81.6,82.6,69.7
Rajasthan,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,26.6,28.9,28.4,13.3
Rajasthan,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,61.3,57.5,58.2,33.2
Rajasthan,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,34.7,28.9,30.1,38.7
Rajasthan,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,3.5,3.3,3.4,na
Rajasthan,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,4.7,3.4,3.7,na
Rajasthan,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,3.8,3.3,3.4,na
Rajasthan,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,33,40.8,39.1,43.7
Rajasthan,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,21.6,23.4,23,20.4
Rajasthan,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,7.9,8.7,8.6,7.3
Rajasthan,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,30.7,38.4,36.7,39.9
Rajasthan,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),18.6,29.9,27,36.7
Rajasthan,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),16.7,25.1,22.7,40.5
Rajasthan,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),23.7,10.7,14.1,8.9
Rajasthan,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),19.7,10.6,13.2,6.2
Rajasthan,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,55.7,61.6,60.3,69.6
Rajasthan,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,40.7,49,46.8,52.6
Rajasthan,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,41.4,48,46.6,61.7
Rajasthan,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,40.7,49,46.8,53.1
Rajasthan,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,15.2,18,17.2,23.6
Rajasthan,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.9,3.3,3.5,na
Rajasthan,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,1.7,1.1,1.2,na
Rajasthan,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,5.8,5.7,5.7,na
Rajasthan,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,3.3,2,2.4,na
Rajasthan,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.4,5.2,5.5,na
Rajasthan,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.5,0.7,0.9,na
Rajasthan,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.6,0.5,0.5,na
Rajasthan,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,11.6,9.7,10.2,na
Rajasthan,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2,1.6,1.7,na
Rajasthan,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,0.8,0.4,0.5,na
Rajasthan,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,21.5,18,18.9,na
Rajasthan,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,5.2,4.7,4.8,na
Rajasthan,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,10.6,7.1,8,na
Rajasthan,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),31.5,14.7,19.1,17.3
Rajasthan,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),45.7,34.1,37.4,33.4
Rajasthan,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),69.5,43.8,50.4,29.8
Rajasthan,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),88.6,75.4,79.1,63.8
Rajasthan,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),86.5,80.1,81.7,65.1
Rajasthan,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),16.8,19.3,18.6,27.2
Rajasthan,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),22,26.2,25.1,46.3
Rajasthan,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),1.3,1.4,1.4,na
Rajasthan,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),22.8,24.5,24.1,na
Rajasthan,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),66.8,55.2,58.2,7.6
Rajasthan,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),61.2,34.4,41.4,na
Rajasthan,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),78.8,47.9,55.2,na
Rajasthan,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),6.4,6.3,6.3,7.8
Rajasthan,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),43.8,48.2,46.9,60.4
Rajasthan,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),0.1,0.1,0.1,0.3
Rajasthan,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),19.4,14.5,15.9,19.1
Rajasthan,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),38.6,36.4,37,na
Rajasthan,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),24.5,26.3,25.8,na
Sikkim,23,#N/A,#N/A,13.1,19.7,17.6,21.2
Sikkim,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,85.6,77.2,79.7,65.4
Sikkim,2,Population below age 15 years (%),Population and Household Profile ,22.2,23.5,23.1,30.7
Sikkim,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,936,944,942,936
Sikkim,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,632,911,809,984
Sikkim,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,98.6,98.4,98.5,85.7
Sikkim,6,Households with electricity (%),Population and Household Profile ,99,99.6,99.4,92.2
Sikkim,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,99.3,96.8,97.6,77.6
Sikkim,8,Households using improved sanitation facility (%),Population and Household Profile ,76,94.2,88.2,60.7
Sikkim,9,Households using clean fuel for cooking (%),Population and Household Profile ,93,42.4,59.1,42.4
Sikkim,10,Households using iodized salt (%),Population and Household Profile ,99.8,99.5,99.6,97.1
Sikkim,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,32.6,29.2,30.3,7
Sikkim,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,89.5,85.2,86.6,72.3
Sikkim,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,93.3,90,91.5,83.1
Sikkim,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,50.2,36.1,40.7,22.5
Sikkim,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,16.1,13.6,14.5,30.1
Sikkim,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,18.8,18.1,18.5,31.5
Sikkim,17,Total fertility rate (children per woman),Marriage and Fertility,1.1,1.2,1.2,2
Sikkim,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,2.4,3,2.8,12
Sikkim,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",-13,38,29,34
Sikkim,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",-18,39,32,40
Sikkim,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),36.9,51.4,46.7,57.6
Sikkim,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),35.6,50.9,45.9,48.7
Sikkim,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.6,4.3,3.4,4.5
Sikkim,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),4.5,7.1,6.3,3
Sikkim,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),8.8,12.9,11.6,12.8
Sikkim,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),5.4,5.1,5.2,4.1
Sikkim,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),24.5,20.3,21.7,20.4
Sikkim,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),9.8,8.4,8.9,5.8
Sikkim,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,16.6,21.4,19.6,13.2
Sikkim,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,46.5,61.4,57.1,56.5
Sikkim,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),77.2,75.7,76.2,57.9
Sikkim,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),75.6,74.2,74.7,56.2
Sikkim,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),98.5,96.6,97.2,81.1
Sikkim,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),48.7,54.9,52.8,26.3
Sikkim,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),36.7,40.2,39,22.4
Sikkim,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),98.4,99.4,99.1,na
Sikkim,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),79.3,71.6,74.2,44.9
Sikkim,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),11.9,38.3,29.4,na
Sikkim,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),"2,584","2,474","2,509",na
Sikkim,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),0,0,0,0
Sikkim,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),9.5,14.4,12.8,na
Sikkim,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),95.3,94.4,94.7,47.2
Sikkim,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),77.5,85.2,82.7,44.5
Sikkim,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),2.5,2.4,2.4,6.5
Sikkim,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),97.7,96.8,97.1,53.7
Sikkim,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),28.8,17.1,20.9,12.3
Sikkim,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),-48.3,50.1,49.3,
Sikkim,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),26,14.7,18.1,25
Sikkim,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,-81.4,83.7,83,69.6
Sikkim,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,-98.2,99.2,98.9,95.9
Sikkim,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,-87.1,88,87.7,85.6
Sikkim,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,-88.4,95,93,84.3
Sikkim,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,-90,94.8,93.3,83.1
Sikkim,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,-78.9,86.4,84.1,na
Sikkim,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,80.5,86.2,84.3,18
Sikkim,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,-91.9,95.1,94.1,98.6
Sikkim,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,-8.1,4.9,5.9,0.4
Sikkim,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),0.3,2.6,1.8,16.5
Sikkim,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),na,na,na,33.2
Sikkim,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),na,na,na,na
Sikkim,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),na,na,na,32.2
Sikkim,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),0.4,0.2,0.3,5
Sikkim,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),0,-58.5,-63.8,49.7
Sikkim,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,61.7,68.9,66.5,43.3
Sikkim,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,-70.7,48.6,54.6,37.2
Sikkim,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,na,-61.9,61.8,-85.4
Sikkim,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,19,25,23.1,na
Sikkim,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,na,na,na,na
Sikkim,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,20.7,24.4,23.1,na
Sikkim,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,22.9,32.9,29.6,38.3
Sikkim,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,13.2,14.7,14.2,9.7
Sikkim,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,5.7,6,5.9,3.3
Sikkim,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,12,15.4,14.2,19.7
Sikkim,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),7.5,5.8,6.4,11.2
Sikkim,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),1.2,3.3,2.4,12.2
Sikkim,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),34.1,23.1,26.7,15.4
Sikkim,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),41.5,29.7,34.8,11.9
Sikkim,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,59.7,52.7,55.1,58.1
Sikkim,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,34.3,35.6,35.2,59.4
Sikkim,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,-33.6,19.6,23.6,62.1
Sikkim,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,34.3,35.1,34.9,59.5
Sikkim,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,12.4,18.2,15.7,24.7
Sikkim,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.8,6.1,6.7,na
Sikkim,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.5,2.6,2.9,na
Sikkim,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,10.7,7.5,8.9,na
Sikkim,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,6.4,1.9,3.8,na
Sikkim,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,13.1,11.1,11.7,na
Sikkim,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,3.5,2.9,3.1,na
Sikkim,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.9,1.6,1.7,na
Sikkim,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,17.7,21.1,19.6,na
Sikkim,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.2,2.8,4.7,na
Sikkim,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.6,1.7,3,na
Sikkim,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,11.8,13.3,12.8,na
Sikkim,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,6,7.2,6.8,na
Sikkim,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,36.7,29.9,32.1,na
Sikkim,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),31.5,21.3,25.5,22.2
Sikkim,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),37.7,34.9,36.1,26.1
Sikkim,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),68.4,58.9,62.7,56.5
Sikkim,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),74.9,71.3,72.8,71.2
Sikkim,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),95.7,95,95.3,93.6
Sikkim,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),22.4,18.2,19.9,22
Sikkim,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),0.4,4.2,2.6,16.3
Sikkim,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),0,0.6,0.4,na
Sikkim,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),19.4,28.5,24.8,na
Sikkim,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),68.9,59.7,63.5,20.9
Sikkim,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),87.1,74.8,79.8,na
Sikkim,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),92.7,80.8,84.6,na
Sikkim,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),8.2,6.9,7.3,18.7
Sikkim,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),39.6,40.8,40.3,61.8
Sikkim,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),22.7,23.1,23,19.2
Sikkim,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),48.9,52.9,51.2,45.4
Sikkim,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),23.4,18.1,20,na
Sikkim,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),10.3,15.9,13.5,na
Tamil Nadu,23,#N/A,#N/A,49.4,49.4,49.4,55
Tamil Nadu,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,83.6,70.7,77.2,69.4
Tamil Nadu,2,Population below age 15 years (%),Population and Household Profile ,22.4,24.1,23.3,26.6
Tamil Nadu,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,"1,020","1,047","1,033","1,078"
Tamil Nadu,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,972,939,954,896
Tamil Nadu,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,98.5,98.2,98.3,85.8
Tamil Nadu,6,Households with electricity (%),Population and Household Profile ,99.2,98.3,98.8,88.6
Tamil Nadu,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,86.9,94.5,90.6,91.4
Tamil Nadu,8,Households using improved sanitation facility (%),Population and Household Profile ,69.7,34,52.2,22.4
Tamil Nadu,9,Households using clean fuel for cooking (%),Population and Household Profile ,87.4,58,73,31.4
Tamil Nadu,10,Households using iodized salt (%),Population and Household Profile ,89.1,76.2,82.8,65.5
Tamil Nadu,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,59.2,69.1,64.1,4
Tamil Nadu,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,85.6,72.9,79.4,69.4
Tamil Nadu,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,91.7,86.2,89.1,84.1
Tamil Nadu,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,58.6,42.9,50.9,31.8
Tamil Nadu,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,13,18.3,15.7,21.5
Tamil Nadu,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,18.4,15.2,17,14
Tamil Nadu,17,Total fertility rate (children per woman),Marriage and Fertility,1.5,1.9,1.7,1.8
Tamil Nadu,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,3.7,6.3,5,7.7
Tamil Nadu,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",18,23,21,30
Tamil Nadu,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",24,31,27,35
Tamil Nadu,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),54.1,52.3,53.2,61.4
Tamil Nadu,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),53.5,51.6,52.6,60
Tamil Nadu,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0,0,0,0.4
Tamil Nadu,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),2.3,1.4,1.9,2.1
Tamil Nadu,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.4,0.1,0.2,0.2
Tamil Nadu,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.2,0.5,0.8,2.3
Tamil Nadu,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),10.6,9.6,10.1,10.2
Tamil Nadu,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),5.1,4.5,4.8,4.1
Tamil Nadu,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,29.7,30.8,30.2,21.6
Tamil Nadu,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,76.7,76.6,76.7,66.4
Tamil Nadu,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),65.1,62.9,64,75.3
Tamil Nadu,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),81.3,81,81.2,87.4
Tamil Nadu,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),72.4,69.7,71,95.9
